Name:  socialnetwork_social-graph-redis_1 | Utilisation:  4.11 | shares  201.16672488280182
*****
Name:  socialnetwork_text-service_1 | Utilisation:  57.81 | shares  2895.2304132728877
Name:  socialnetwork_home-timeline-service_1 | Utilisation:  15.17 | shares  759.7413141212542
Name:  socialnetwork_media-mongodb_1 | Utilisation:  0.28 | shares  14.022911532890653
Name:  socialnetwork_user-mention-service_1 | Utilisation:  37.36 | shares  1871.0570531028384
Name:  socialnetwork_social-graph-service_1 | Utilisation:  28.39 | shares  1421.8230657813058
Name:  socialnetwork_url-shorten-mongodb_1 | Utilisation:  25.25 | shares  1264.5661293053176
Name:  socialnetwork_compose-post-service_1 | Utilisation:  107.82 | shares  5399.8225767009635
Name:  socialnetwork_user-mongodb_1 | Utilisation:  18.52 | shares  927.5154342469102
Name:  socialnetwork_user-timeline-redis_1 | Utilisation:  4.93 | shares  246.9034066326818
Name:  socialnetwork_user-timeline-service_1 | Utilisation:  25.69 | shares  1286.6021331427173
Name:  socialnetwork_user-service_1 | Utilisation:  7.91 | shares  396.1472508041609
Name:  socialnetwork_url-shorten-service_1 | Utilisation:  27.66 | shares  1385.2633321419837
Name:  socialnetwork_media-service_1 | Utilisation:  7.86 | shares  393.6431594590019
Name:  socialnetwork_home-timeline-redis_1 | Utilisation:  0.11 | shares  5.5090009593498985
Name:  socialnetwork_post-storage-service_1 | Utilisation:  19.5 | shares  976.5956246120274
Name:  socialnetwork_url-shorten-memcached_1 | Utilisation:  0.01 | shares  0.5008182690318089
Name:  socialnetwork_media-memcached_1 | Utilisation:  0.01 | shares  0.5008182690318089
Name:  socialnetwork_user-memcached_1 | Utilisation:  12.02 | shares  601.9835593762343
Name:  socialnetwork_media-frontend_1 | Utilisation:  0.0 | shares  0.0
Name:  socialnetwork_social-graph-redis_1 | Utilisation:  4.02 | shares  201.32894415078718
Name:  socialnetwork_post-storage-mongodb_1 | Utilisation:  21.04 | shares  1053.721638042926
Name:  socialnetwork_user-timeline-mongodb_1 | Utilisation:  45.1 | shares  2258.6903933334584
Name:  socialnetwork_nginx-thrift_1 | Utilisation:  36.86 | shares  1846.0161396512478
Name:  socialnetwork_post-storage-memcached_1 | Utilisation:  0.01 | shares  0.5008182690318089
Name:  socialnetwork_social-graph-mongodb_1 | Utilisation:  19.92 | shares  997.6299919113635
Name:  socialnetwork_unique-id-service_1 | Utilisation:  8.36 | shares  418.68407291059225
*****
Name:  socialnetwork_media-memcached_1 | Utilisation:  0.01 | shares  0.45684477847558264
Name:  socialnetwork_media-service_1 | Utilisation:  8.62 | shares  393.8001990459522
Name:  socialnetwork_url-shorten-mongodb_1 | Utilisation:  29.51 | shares  1348.1489412814444
Name:  socialnetwork_media-mongodb_1 | Utilisation:  0.29 | shares  13.248498575791896
Name:  socialnetwork_user-timeline-service_1 | Utilisation:  27.3 | shares  1247.1862452383407
Name:  socialnetwork_social-graph-mongodb_1 | Utilisation:  22.37 | shares  1021.9617694498784
Name:  socialnetwork_post-storage-memcached_1 | Utilisation:  0.01 | shares  0.45684477847558264
Name:  socialnetwork_compose-post-service_1 | Utilisation:  114.84 | shares  5246.4054360135915
Name:  socialnetwork_user-service_1 | Utilisation:  8.45 | shares  386.0338378118673
Name:  socialnetwork_home-timeline-service_1 | Utilisation:  15.87 | shares  725.0126634407496
Name:  socialnetwork_user-timeline-redis_1 | Utilisation:  5.11 | shares  233.44768180102272
Name:  socialnetwork_user-mongodb_1 | Utilisation:  20.92 | shares  955.719276570919
Name:  socialnetwork_user-mention-service_1 | Utilisation:  39.9 | shares  1822.8106661175746
Name:  socialnetwork_post-storage-service_1 | Utilisation:  20.98 | shares  958.4603452417724
Name:  socialnetwork_nginx-thrift_1 | Utilisation:  43.19 | shares  1973.1125982360413
Name:  socialnetwork_url-shorten-service_1 | Utilisation:  29.28 | shares  1337.641511376506
Name:  socialnetwork_post-storage-mongodb_1 | Utilisation:  23.34 | shares  1066.27571296201
Name:  socialnetwork_unique-id-service_1 | Utilisation:  9.1 | shares  415.7287484127802
Name:  socialnetwork_home-timeline-redis_1 | Utilisation:  0.12 | shares  5.482137341706991
Name:  socialnetwork_text-service_1 | Utilisation:  64.24 | shares  2934.7708569271426
Name:  socialnetwork_user-memcached_1 | Utilisation:  11.32 | shares  517.1482892343596
Name:  socialnetwork_social-graph-redis_1 | Utilisation:  4.08 | shares  186.39266961803773
Name:  socialnetwork_url-shorten-memcached_1 | Utilisation:  0.01 | shares  0.45684477847558264
Name:  socialnetwork_media-frontend_1 | Utilisation:  0.0 | shares  0.0
Name:  socialnetwork_user-timeline-mongodb_1 | Utilisation:  52.5 | shares  2398.435086996809
Name:  socialnetwork_social-graph-service_1 | Utilisation:  31.42 | shares  1435.4062939702808
*****
Name:  socialnetwork_social-graph-mongodb_1 | Utilisation:  20.74 | shares  999.2793079735059
Name:  socialnetwork_user-memcached_1 | Utilisation:  11.5 | shares  554.0844764558977
Name:  socialnetwork_user-timeline-mongodb_1 | Utilisation:  48.05 | shares  2315.1094864092074
Name:  socialnetwork_post-storage-service_1 | Utilisation:  20.33 | shares  979.5249918563826
Name:  socialnetwork_unique-id-service_1 | Utilisation:  8.48 | shares  408.57707481269676
Name:  socialnetwork_text-service_1 | Utilisation:  60.95 | shares  2936.647725216258
Name:  socialnetwork_media-memcached_1 | Utilisation:  0.01 | shares  0.48181258822251977
Name:  socialnetwork_media-frontend_1 | Utilisation:  0.0 | shares  0.0
Name:  socialnetwork_media-mongodb_1 | Utilisation:  0.25 | shares  12.045314705562994
Name:  socialnetwork_url-shorten-mongodb_1 | Utilisation:  27.11 | shares  1306.1939266712511
Name:  socialnetwork_nginx-thrift_1 | Utilisation:  39.3 | shares  1893.5234717145026
Name:  socialnetwork_post-storage-mongodb_1 | Utilisation:  21.32 | shares  1027.2244380904121
Name:  socialnetwork_home-timeline-service_1 | Utilisation:  15.51 | shares  747.2913243331282
Name:  socialnetwork_user-mongodb_1 | Utilisation:  19.59 | shares  943.8708603279163
Name:  socialnetwork_user-mention-service_1 | Utilisation:  38.59 | shares  1859.314777950704
Name:  socialnetwork_home-timeline-redis_1 | Utilisation:  0.13 | shares  6.263563646892758
Name:  socialnetwork_user-timeline-redis_1 | Utilisation:  4.98 | shares  239.94266893481486
Name:  socialnetwork_url-shorten-memcached_1 | Utilisation:  0.01 | shares  0.48181258822251977
Name:  socialnetwork_user-timeline-service_1 | Utilisation:  25.96 | shares  1250.7854790256613
Name:  socialnetwork_post-storage-memcached_1 | Utilisation:  0.01 | shares  0.48181258822251977
Name:  socialnetwork_media-service_1 | Utilisation:  8.08 | shares  389.30457128379595
Name:  socialnetwork_social-graph-service_1 | Utilisation:  29.56 | shares  1424.2380107857684
Name:  socialnetwork_url-shorten-service_1 | Utilisation:  27.97 | shares  1347.6298092583877
Name:  socialnetwork_user-service_1 | Utilisation:  8.22 | shares  396.04994751891127
Name:  socialnetwork_social-graph-redis_1 | Utilisation:  4.1 | shares  197.5431611712331
Name:  socialnetwork_compose-post-service_1 | Utilisation:  111.83 | shares  5388.110174092439
*****
Name:  socialnetwork_home-timeline-service_1 | Utilisation:  15.03 | shares  708.4461440407903
Name:  socialnetwork_user-memcached_1 | Utilisation:  12.67 | shares  597.2064301395086
Name:  socialnetwork_media-frontend_1 | Utilisation:  0.0 | shares  0.0
Name:  socialnetwork_user-timeline-mongodb_1 | Utilisation:  55.61 | shares  2621.2035974789324
Name:  socialnetwork_text-service_1 | Utilisation:  62.12 | shares  2928.0555201472985
Name:  socialnetwork_post-storage-service_1 | Utilisation:  20.86 | shares  983.24594575455
Name:  socialnetwork_url-shorten-service_1 | Utilisation:  27.68 | shares  1304.7098647404575
Name:  socialnetwork_user-mention-service_1 | Utilisation:  39.1 | shares  1842.9969548898805
Name:  socialnetwork_social-graph-service_1 | Utilisation:  30.1 | shares  1418.7777069612634
Name:  socialnetwork_post-storage-memcached_1 | Utilisation:  0.01 | shares  0.47135471992068556
Name:  socialnetwork_user-timeline-redis_1 | Utilisation:  5.17 | shares  243.6903901989944
Name:  socialnetwork_social-graph-mongodb_1 | Utilisation:  21.38 | shares  1007.7563911904256
Name:  socialnetwork_post-storage-mongodb_1 | Utilisation:  22.01 | shares  1037.451738545429
Name:  socialnetwork_user-mongodb_1 | Utilisation:  20.16 | shares  950.2511153601021
Name:  socialnetwork_social-graph-redis_1 | Utilisation:  4.14 | shares  195.1408540471638
Name:  socialnetwork_media-memcached_1 | Utilisation:  0.01 | shares  0.47135471992068556
Name:  socialnetwork_url-shorten-memcached_1 | Utilisation:  0.01 | shares  0.47135471992068556
